Experiment Log Started

========================================
Running Architecture: ConvNeXt + Baseline
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 2/25 | Train Loss: 0.4790 | Train Acc: 72.84%
    Epoch 3/25 | Train Loss: 0.1605 | Train Acc: 97.53%
    Epoch 4/25 | Train Loss: 0.1184 | Train Acc: 97.53%
    Epoch 5/25 | Train Loss: 0.0574 | Train Acc: 98.77%
    Epoch 6/25 | Train Loss: 0.0381 | Train Acc: 100.00%
    Epoch 7/25 | Train Loss: 0.0288 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0064 | Train Acc: 99.69%
    Epoch 8/25 | Train Loss: 0.0145 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0068 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0037 | Train Acc: 100.00%
    Epoch 11/25 | Train Loss: 0.0047 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0039 | Train Acc: 100.00%
    Epoch 13/25 | Train Loss: 0.0020 | Train Acc: 100.00%
    Epoch 14/25 | Train Loss: 0.0019 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0005 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.0016 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0016 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0067 | Train Acc: 100.00%
    Epoch 18/25 | Train Loss: 0.0030 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0025 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0018 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0040 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0003 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0014 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0010 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0007 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0013 | Train Acc: 100.00%
RESULT | Baseline | Split 10% | Acc: 0.9005 (+/- 0.0118) | Recall: 0.9016
  > Split: 20% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.5107 | Train Acc: 73.62%
    Epoch 24/25 | Train Loss: 0.0001 | Train Acc: 100.00%
    Epoch 2/25 | Train Loss: 0.1852 | Train Acc: 96.32%
    Epoch 3/25 | Train Loss: 0.0627 | Train Acc: 98.77%
    Epoch 4/25 | Train Loss: 0.0364 | Train Acc: 99.39%
    Epoch 25/25 | Train Loss: 0.0001 | Train Acc: 100.00%
    Epoch 5/25 | Train Loss: 0.0128 | Train Acc: 100.00%
RESULT | Baseline | Split 80% | Acc: 0.9463 (+/- 0.0000) | Recall: 0.9477

========================================
Running Architecture: ConvNeXt + StatAware
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
Error in run: mat1 and mat2 shapes cannot be multiplied (16x384 and 192x6)
  > Split: 10% | Seed: 10 ...
    Loss Function: CrossEntropyLoss()
Error in run: mat1 and mat2 shapes cannot be multiplied (16x384 and 192x6)
  > Split: 10% | Seed: 20 ...
    Loss Function: CrossEntropyLoss()
Error in run: mat1 and mat2 shapes cannot be multiplied (16x384 and 192x6)
  > Split: 10% | Seed: 30 ...
    Loss Function: CrossEntropyLoss()
    Epoch 6/25 | Train Loss: 0.0067 | Train Acc: 100.00%
Error in run: mat1 and mat2 shapes cannot be multiplied (16x384 and 192x6)
  > Split: 10% | Seed: 40 ...
    Loss Function: CrossEntropyLoss()
Error in run: mat1 and mat2 shapes cannot be multiplied (16x384 and 192x6)
RESULT | StatAware | Split 10% | Acc: 0.0000 (+/- 0.0000) | Recall: nan
  > Split: 20% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
Error in run: mat1 and mat2 shapes cannot be multiplied (16x384 and 192x6)
RESULT | StatAware | Split 20% | Acc: 0.0000 (+/- 0.0000) | Recall: nan
  > Split: 50% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
Error in run: mat1 and mat2 shapes cannot be multiplied (16x384 and 192x6)
RESULT | StatAware | Split 50% | Acc: 0.0000 (+/- 0.0000) | Recall: nan
  > Split: 80% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
Error in run: mat1 and mat2 shapes cannot be multiplied (16x384 and 192x6)
RESULT | StatAware | Split 80% | Acc: 0.0000 (+/- 0.0000) | Recall: nan

========================================
Running Architecture: ConvNeXt + CBAM
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
