Experiment Log Started

========================================
Running Architecture: ResNet50 + Baseline
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 17/25 | Train Loss: 0.0363 | Train Acc: 98.77%
    Epoch 18/25 | Train Loss: 0.0411 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0319 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0171 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0170 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0136 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0170 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0205 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0233 | Train Acc: 100.00%
RESULT | Baseline | Split 10% | Acc: 0.7815 (+/- 0.0421) | Recall: 0.7810
  > Split: 20% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.6150 | Train Acc: 67.48%
    Epoch 2/25 | Train Loss: 0.4230 | Train Acc: 88.96%
    Epoch 3/25 | Train Loss: 0.2986 | Train Acc: 93.25%
    Epoch 4/25 | Train Loss: 0.1441 | Train Acc: 100.00%
    Epoch 5/25 | Train Loss: 0.0778 | Train Acc: 100.00%
    Epoch 6/25 | Train Loss: 0.0544 | Train Acc: 100.00%
    Epoch 7/25 | Train Loss: 0.0223 | Train Acc: 100.00%
    Epoch 8/25 | Train Loss: 0.0294 | Train Acc: 99.39%
    Epoch 9/25 | Train Loss: 0.0261 | Train Acc: 98.77%
    Epoch 10/25 | Train Loss: 0.0252 | Train Acc: 99.39%
    Epoch 11/25 | Train Loss: 0.0253 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0118 | Train Acc: 100.00%
    Epoch 13/25 | Train Loss: 0.0096 | Train Acc: 100.00%
    Epoch 14/25 | Train Loss: 0.0068 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.0088 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0037 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0042 | Train Acc: 100.00%
